,match_id,victor_team,radiant_team,dire_team
235,4896040961,Radiant,52-114-42-88-64,100-19-29-68-95
236,4924350413,Radiant,85-6-52-27-17,79-82-96-121-12
237,4930937753,Radiant,25-68-42-45-19,86-76-16-3-1
238,4911842164,Radiant,42-104-98-100-68,18-25-7-23-65
239,4900567798,Radiant,121-15-29-10-19,86-106-57-42-68
240,4902729928,Radiant,121-15-25-42-69,68-52-46-29-18
241,4900067404,Radiant,44-5-129-98-79,68-96-58-107-67
242,4920874209,Dire,121-71-45-1-55,5-73-119-38-42
243,4921930522,Radiant,30-22-54-96-79,89-49-86-64-129
244,4932086271,Dire,93-28-26-16-104,90-27-8-99-34
245,4891495610,Radiant,83-39-42-86-95,112-121-96-89-21
246,4916000861,Radiant,27-89-29-79-76,42-98-26-17-121
247,4915903864,Radiant,76-38-106-33-37,18-25-121-99-52
248,4892030631,Radiant,3-119-42-106-96,90-57-46-27-93
249,4929233512,Dire,74-95-96-121-71,31-112-8-106-69
250,4914094228,Radiant,71-74-18-98-79,30-23-93-129-119
251,4935362141,Dire,55-71-46-75-99,31-94-57-33-106
252,4899277798,Radiant,57-43-27-60-10,64-120-119-34-42
253,4889566598,Radiant,10-110-71-37-93,75-46-91-99-72
254,4896097089,Radiant,120-39-54-88-75,27-114-129-79-89
255,4901742097,Radiant,83-76-93-79-96,54-111-43-71-25
256,4928791712,Radiant,65-45-18-28-25,96-86-76-95-37
257,4894107881,Radiant,87-70-46-83-2,64-91-38-99-76
258,4929280964,Radiant,74-121-21-36-102,7-23-96-94-112
259,4930793247,Dire,42-52-85-27-38,19-15-8-31-74
260,4906917350,Radiant,64-86-96-25-12,42-13-129-27-68
261,4898154051,Dire,49-110-55-71-54,66-96-39-119-8
262,4889865830,Radiant,111-70-73-83-55,18-52-96-91-72
263,4891379575,Radiant,68-42-46-71-120,119-66-25-16-1
264,4923254572,Dire,80-69-52-79-111,90-106-119-129-89
265,4915650752,Radiant,93-49-55-19-31,88-37-52-18-2
266,4894907490,Dire,85-27-8-59-57,66-106-99-37-1
267,4889496502,Dire,37-71-42-96-35,66-13-99-33-10
268,4931735516,Radiant,46-27-54-60-75,76-121-79-2-18
269,4915578570,Radiant,70-23-79-37-106,95-10-7-57-87
270,4904278920,Radiant,43-86-8-121-99,42-75-109-25-23
271,4915496214,Radiant,72-23-29-79-91,42-63-121-27-10
272,4900493539,Dire,42-53-111-120-59,19-37-52-18-129
273,4910520200,Radiant,119-10-18-121-98,8-11-112-16-84
274,4896666985,Dire,25-42-121-23-69,16-100-37-18-52
275,4910428419,Dire,84-45-21-86-8,96-92-79-6-37
276,4900878151,Radiant,3-43-119-33-12,8-94-2-25-79
277,4934040220,Radiant,68-18-110-26-76,25-2-91-89-102
278,4925414115,Radiant,20-10-45-19-38,71-23-95-84-121
279,4922129191,Dire,111-96-86-81-43,79-85-38-17-6
280,4887534443,Radiant,98-106-31-71-93,25-27-96-84-15
281,4919165070,Dire,5-50-2-121-109,71-95-86-38-34
282,4887839771,Dire,86-65-10-71-52,16-54-3-104-76
283,4928335436,Radiant,90-61-84-102-14,93-76-16-19-3
284,4926426564,Dire,45-101-2-68-18,86-79-35-29-8
285,4939170718,Radiant,18-38-86-82-75,111-43-121-28-44
286,4916319125,Radiant,103-17-29-27-6,76-26-93-87-2
287,4891274138,Dire,83-96-10-27-95,57-29-64-17-93
288,4892157936,Dire,121-106-19-69-1,27-104-129-37-10
289,4893101163,Radiant,85-86-8-17-38,33-43-99-3-95
290,4930929900,Dire,83-44-27-25-96,79-85-29-11-6
291,4910534142,Dire,8-43-62-16-111,76-86-96-47-37
292,4935143024,Dire,76-111-77-52-84,102-6-25-35-16
293,4900274319,Radiant,85-95-86-96-94,79-64-61-57-52
294,4904218149,Dire,8-31-23-38-97,85-106-2-95-86
295,4900279672,Dire,71-10-52-43-27,1-86-57-25-121
296,4903339901,Radiant,43-93-14-121-129,26-54-21-88-2
297,4931066712,Radiant,107-63-13-65-68,8-79-71-28-39
298,4926929700,Dire,106-60-54-86-96,16-18-37-27-114
299,4904261164,Radiant,37-52-38-18-121,8-31-106-98-97
300,4940382495,Dire,80-129-41-97-5,86-111-75-58-93
301,4887426986,Dire,26-96-74-67-121,19-45-7-112-106
302,4901646019,Dire,3-86-16-73-8,5-80-19-2-12
303,4895079977,Dire,111-86-63-98-76,121-45-58-33-89
304,4894264887,Dire,96-86-73-95-87,58-97-111-109-114
305,4913801120,Radiant,54-97-3-28-106,129-31-73-8-107
306,4930256868,Radiant,121-56-18-120-33,96-68-73-79-8
307,4929898625,Dire,44-66-36-38-107,90-23-99-121-54
308,4903498777,Dire,57-105-8-45-37,129-86-42-121-61
309,4938132107,Radiant,3-76-88-89-52,2-8-23-71-79
310,4902122478,Dire,109-121-23-98-79,66-88-58-43-8
311,4890741448,Radiant,71-86-106-38-76,33-104-111-93-23
312,4940255680,Radiant,83-121-75-29-73,61-96-52-71-37
313,4932213681,Radiant,38-5-21-86-89,95-37-121-110-43
314,4899794936,Radiant,3-13-38-1-33,10-68-16-29-8
315,4898778768,Dire,52-42-68-98-96,54-29-121-25-23
316,4899925007,Dire,79-73-36-27-38,37-107-98-106-109
317,4918244275,Dire,52-54-11-79-66,83-27-106-98-63
318,4917088641,Dire,5-94-27-96-106,79-23-119-129-8
319,4914202092,Radiant,106-107-96-31-18,86-2-10-30-43
320,4911992343,Dire,87-8-121-43-99,18-97-79-28-106
321,4911784942,Dire,61-95-96-86-64,85-2-27-52-113
322,4911781977,Dire,79-38-72-86-1,17-33-62-103-6
323,4903884353,Dire,129-52-42-111-101,57-68-89-110-96
324,4901728834,Radiant,66-70-33-129-63,68-7-110-42-23
325,4933553729,Dire,16-76-5-107-81,79-45-108-85-10
326,4897787211,Radiant,46-110-42-96-86,75-23-33-16-54
327,4936798573,Radiant,19-66-13-8-112,79-93-33-11-120
328,4892691160,Radiant,79-76-72-91-129,52-111-96-25-42
329,4891861881,Radiant,93-52-55-71-86,7-18-37-16-74
330,4888936676,Radiant,27-100-42-33-94,112-97-52-41-65
331,4931853241,Dire,89-76-75-88-58,3-53-33-9-61
332,4898620035,Dire,121-52-57-93-88,79-27-106-96-1
