hero,opponent,hero_wins,games_played,win_rate
21,112,12,21,0.571
21,113,1,2,0.5
21,114,24,43,0.558
21,119,12,16,0.75
21,120,29,44,0.659
21,121,30,66,0.455
21,126,10,26,0.385
21,128,6,16,0.375
21,129,22,38,0.579
22,1,3,9,0.333
22,2,16,26,0.615
22,3,11,18,0.611
22,4,10,13,0.769
22,5,15,28,0.536
22,6,14,20,0.7
22,7,14,26,0.538
22,8,11,19,0.579
22,9,29,52,0.558
22,10,16,23,0.696
22,11,10,19,0.526
22,12,5,12,0.417
22,13,28,42,0.667
22,14,2,12,0.167
22,15,11,13,0.846
22,16,24,39,0.615
22,17,17,29,0.586
22,18,7,11,0.636
22,19,24,47,0.511
22,20,7,24,0.292
22,21,6,14,0.429
22,23,9,24,0.375
22,25,27,52,0.519
22,26,6,15,0.4
22,27,11,16,0.688
22,28,6,15,0.4
22,29,6,13,0.462
22,30,6,10,0.6
22,31,21,36,0.583
22,32,5,11,0.455
22,33,4,8,0.5
22,34,7,12,0.583
22,35,1,5,0.2
22,36,5,9,0.556
22,37,8,11,0.727
22,38,10,21,0.476
22,39,13,20,0.65
22,40,7,15,0.467
22,41,17,32,0.531
22,42,9,18,0.5
22,43,5,12,0.417
22,44,7,16,0.438
22,45,9,15,0.6
22,46,13,37,0.351
22,47,6,13,0.462
22,48,4,10,0.4
22,49,8,14,0.571
22,50,10,22,0.455
22,51,9,18,0.5
22,52,35,62,0.565
22,53,8,23,0.348
22,54,10,17,0.588
22,55,1,4,0.25
22,56,2,5,0.4
22,57,8,13,0.615
22,58,4,12,0.333
22,59,1,3,0.333
22,60,9,14,0.643
22,61,2,8,0.25
22,62,3,11,0.273
22,63,2,3,0.667
22,64,11,22,0.5
22,65,11,16,0.688
22,66,4,9,0.444
22,67,5,9,0.556
22,68,9,20,0.45
22,69,8,15,0.533
22,70,3,11,0.273
22,71,5,7,0.714
22,72,23,54,0.426
22,73,6,8,0.75
22,74,14,28,0.5
22,75,5,9,0.556
22,76,12,23,0.522
22,77,2,8,0.25
22,78,1,2,0.5
22,79,23,37,0.622
22,80,1,6,0.167
22,81,8,19,0.421
22,82,1,6,0.167
22,83,12,29,0.414
22,84,24,51,0.471
22,85,4,10,0.4
22,86,44,71,0.62
22,87,14,28,0.5
22,88,6,9,0.667
